"","country_region","lat","long","date","status","cases"
"403","Andorra",42.5063,1.5218,"1/31/20","confirmed",0
"404","Andorra",42.5063,1.5218,"1/31/20","deaths",0
"405","Andorra",42.5063,1.5218,"2/1/20","confirmed",0
"406","Andorra",42.5063,1.5218,"2/1/20","deaths",0
"407","Andorra",42.5063,1.5218,"2/2/20","confirmed",0
"408","Andorra",42.5063,1.5218,"2/2/20","deaths",0
"409","Andorra",42.5063,1.5218,"2/3/20","confirmed",0
"410","Andorra",42.5063,1.5218,"2/3/20","deaths",0
"411","Andorra",42.5063,1.5218,"2/4/20","confirmed",0
"412","Andorra",42.5063,1.5218,"2/4/20","deaths",0
"413","Andorra",42.5063,1.5218,"2/5/20","confirmed",0
"414","Andorra",42.5063,1.5218,"2/5/20","deaths",0
"415","Andorra",42.5063,1.5218,"2/6/20","confirmed",0
"416","Andorra",42.5063,1.5218,"2/6/20","deaths",0
"417","Andorra",42.5063,1.5218,"2/7/20","confirmed",0
"418","Andorra",42.5063,1.5218,"2/7/20","deaths",0
"419","Andorra",42.5063,1.5218,"2/8/20","confirmed",0
"420","Andorra",42.5063,1.5218,"2/8/20","deaths",0
"421","Andorra",42.5063,1.5218,"2/9/20","confirmed",0
"422","Andorra",42.5063,1.5218,"2/9/20","deaths",0
"423","Andorra",42.5063,1.5218,"2/10/20","confirmed",0
"424","Andorra",42.5063,1.5218,"2/10/20","deaths",0
"425","Andorra",42.5063,1.5218,"2/11/20","confirmed",0
"426","Andorra",42.5063,1.5218,"2/11/20","deaths",0
"427","Andorra",42.5063,1.5218,"2/12/20","confirmed",0
"428","Andorra",42.5063,1.5218,"2/12/20","deaths",0
"429","Andorra",42.5063,1.5218,"2/13/20","confirmed",0
"430","Andorra",42.5063,1.5218,"2/13/20","deaths",0
"431","Andorra",42.5063,1.5218,"2/14/20","confirmed",0
"432","Andorra",42.5063,1.5218,"2/14/20","deaths",0
"433","Andorra",42.5063,1.5218,"2/15/20","confirmed",0
"434","Andorra",42.5063,1.5218,"2/15/20","deaths",0
"435","Andorra",42.5063,1.5218,"2/16/20","confirmed",0
"436","Andorra",42.5063,1.5218,"2/16/20","deaths",0
"437","Andorra",42.5063,1.5218,"2/17/20","confirmed",0
"438","Andorra",42.5063,1.5218,"2/17/20","deaths",0
"439","Andorra",42.5063,1.5218,"2/18/20","confirmed",0
"440","Andorra",42.5063,1.5218,"2/18/20","deaths",0
"441","Andorra",42.5063,1.5218,"2/19/20","confirmed",0
"442","Andorra",42.5063,1.5218,"2/19/20","deaths",0
"443","Andorra",42.5063,1.5218,"2/20/20","confirmed",0
"444","Andorra",42.5063,1.5218,"2/20/20","deaths",0
"445","Andorra",42.5063,1.5218,"2/21/20","confirmed",0
"446","Andorra",42.5063,1.5218,"2/21/20","deaths",0
"447","Andorra",42.5063,1.5218,"2/22/20","confirmed",0
"448","Andorra",42.5063,1.5218,"2/22/20","deaths",0
"449","Andorra",42.5063,1.5218,"2/23/20","confirmed",0
"450","Andorra",42.5063,1.5218,"2/23/20","deaths",0
"451","Andorra",42.5063,1.5218,"2/24/20","confirmed",0
"452","Andorra",42.5063,1.5218,"2/24/20","deaths",0
"453","Andorra",42.5063,1.5218,"2/25/20","confirmed",0
"454","Andorra",42.5063,1.5218,"2/25/20","deaths",0
"455","Andorra",42.5063,1.5218,"2/26/20","confirmed",0
"456","Andorra",42.5063,1.5218,"2/26/20","deaths",0
"457","Andorra",42.5063,1.5218,"2/27/20","confirmed",0
"458","Andorra",42.5063,1.5218,"2/27/20","deaths",0
"459","Andorra",42.5063,1.5218,"2/28/20","confirmed",0
"460","Andorra",42.5063,1.5218,"2/28/20","deaths",0
"461","Andorra",42.5063,1.5218,"2/29/20","confirmed",0
