"","province_state","country_region","lat","long","date","status","cases"
"370",NA,"Albania",41.1533,20.1683,"2/18/20","deaths",0
"371",NA,"Albania",41.1533,20.1683,"2/18/20","recovered",0
"372",NA,"Albania",41.1533,20.1683,"2/18/20","active",0
"373",NA,"Albania",41.1533,20.1683,"2/19/20","confirmed",0
"374",NA,"Albania",41.1533,20.1683,"2/19/20","deaths",0
"375",NA,"Albania",41.1533,20.1683,"2/19/20","recovered",0
"376",NA,"Albania",41.1533,20.1683,"2/19/20","active",0
"377",NA,"Albania",41.1533,20.1683,"2/20/20","confirmed",0
"378",NA,"Albania",41.1533,20.1683,"2/20/20","deaths",0
"379",NA,"Albania",41.1533,20.1683,"2/20/20","recovered",0
"380",NA,"Albania",41.1533,20.1683,"2/20/20","active",0
"381",NA,"Albania",41.1533,20.1683,"2/21/20","confirmed",0
"382",NA,"Albania",41.1533,20.1683,"2/21/20","deaths",0
"383",NA,"Albania",41.1533,20.1683,"2/21/20","recovered",0
"384",NA,"Albania",41.1533,20.1683,"2/21/20","active",0
"385",NA,"Albania",41.1533,20.1683,"2/22/20","confirmed",0
"386",NA,"Albania",41.1533,20.1683,"2/22/20","deaths",0
"387",NA,"Albania",41.1533,20.1683,"2/22/20","recovered",0
"388",NA,"Albania",41.1533,20.1683,"2/22/20","active",0
"389",NA,"Albania",41.1533,20.1683,"2/23/20","confirmed",0
"390",NA,"Albania",41.1533,20.1683,"2/23/20","deaths",0
"391",NA,"Albania",41.1533,20.1683,"2/23/20","recovered",0
"392",NA,"Albania",41.1533,20.1683,"2/23/20","active",0
"393",NA,"Albania",41.1533,20.1683,"2/24/20","confirmed",0
"394",NA,"Albania",41.1533,20.1683,"2/24/20","deaths",0
"395",NA,"Albania",41.1533,20.1683,"2/24/20","recovered",0
"396",NA,"Albania",41.1533,20.1683,"2/24/20","active",0
"397",NA,"Albania",41.1533,20.1683,"2/25/20","confirmed",0
"398",NA,"Albania",41.1533,20.1683,"2/25/20","deaths",0
"399",NA,"Albania",41.1533,20.1683,"2/25/20","recovered",0
"400",NA,"Albania",41.1533,20.1683,"2/25/20","active",0
"401",NA,"Albania",41.1533,20.1683,"2/26/20","confirmed",0
"402",NA,"Albania",41.1533,20.1683,"2/26/20","deaths",0
"403",NA,"Albania",41.1533,20.1683,"2/26/20","recovered",0
"404",NA,"Albania",41.1533,20.1683,"2/26/20","active",0
"405",NA,"Albania",41.1533,20.1683,"2/27/20","confirmed",0
"406",NA,"Albania",41.1533,20.1683,"2/27/20","deaths",0
"407",NA,"Albania",41.1533,20.1683,"2/27/20","recovered",0
"408",NA,"Albania",41.1533,20.1683,"2/27/20","active",0
"409",NA,"Albania",41.1533,20.1683,"2/28/20","confirmed",0
"410",NA,"Albania",41.1533,20.1683,"2/28/20","deaths",0
"411",NA,"Albania",41.1533,20.1683,"2/28/20","recovered",0
"412",NA,"Albania",41.1533,20.1683,"2/28/20","active",0
"413",NA,"Albania",41.1533,20.1683,"2/29/20","confirmed",0
"414",NA,"Albania",41.1533,20.1683,"2/29/20","deaths",0
"415",NA,"Albania",41.1533,20.1683,"2/29/20","recovered",0
"416",NA,"Albania",41.1533,20.1683,"2/29/20","active",0
"417",NA,"Albania",41.1533,20.1683,"3/1/20","confirmed",0
"418",NA,"Albania",41.1533,20.1683,"3/1/20","deaths",0
"419",NA,"Albania",41.1533,20.1683,"3/1/20","recovered",0
"420",NA,"Albania",41.1533,20.1683,"3/1/20","active",0
"421",NA,"Albania",41.1533,20.1683,"3/2/20","confirmed",0
"422",NA,"Albania",41.1533,20.1683,"3/2/20","deaths",0
"423",NA,"Albania",41.1533,20.1683,"3/2/20","recovered",0
"424",NA,"Albania",41.1533,20.1683,"3/2/20","active",0
"425",NA,"Albania",41.1533,20.1683,"3/3/20","confirmed",0
"426",NA,"Albania",41.1533,20.1683,"3/3/20","deaths",0
"427",NA,"Albania",41.1533,20.1683,"3/3/20","recovered",0
"428",NA,"Albania",41.1533,20.1683,"3/3/20","active",0
"429",NA,"Albania",41.1533,20.1683,"3/4/20","confirmed",0
"430",NA,"Albania",41.1533,20.1683,"3/4/20","deaths",0
"431",NA,"Albania",41.1533,20.1683,"3/4/20","recovered",0
"432",NA,"Albania",41.1533,20.1683,"3/4/20","active",0
"433",NA,"Albania",41.1533,20.1683,"3/5/20","confirmed",0
"434",NA,"Albania",41.1533,20.1683,"3/5/20","deaths",0
